id,body,created_at,symbol
52276253,"$AAPL super bullish close, $145 tomorrow, like $144ish , iPhone SE is the next big thing seems like, stock rallied 14 percent since Feb lows",2016-04-04T20:01:41Z,APPL
52276091,@keynesian @PrognosisStock @harryzimm2013 $TSLA builds cars...not REMOTELY close to the scale/time frame of mobile ownership $AAPL is unique,2016-04-04T20:00:38Z,APPL
52275977,Took some off $AAPL daytrade at $111.10 ...,2016-04-04T19:59:42Z,APPL
52275758,$AAPL,2016-04-04T19:57:46Z,APPL
52275752,$AAPL Give or take a few cents.,2016-04-04T19:57:42Z,APPL
52275694,$AAPL if market not gonna crash like Jan.guess we will be able to see $130 before iPhone 7 announcement,2016-04-04T19:57:21Z,APPL
52275651,$AAPL shooting star !!,2016-04-04T19:56:54Z,APPL
52275617,"$AAPL If this pattern holds, we should end the day approximately 1.00 higher than Friday&#39;s close.",2016-04-04T19:56:29Z,APPL
52275538,$AAPL,2016-04-04T19:55:43Z,APPL
52275502,$AAPL It&#39;s better that the stock is moving up $1-$2 at a time each day rather than all at once leading up to ER.,2016-04-04T19:55:21Z,APPL
52279864,$AAPL Technical Analysis Video 4/4/2016 http://stkw.it/f4oe,2016-04-04T20:40:28Z,APPL
52279463,"$AAPL: Unsexy Upgrade, Sexy Upside - http://stkw.it/a4cs",2016-04-04T20:35:12Z,APPL
52278980,$AAPL LOL do u think that aapl chart corrected? If nothing manupulated it would take another 200 days to get correct,2016-04-04T20:29:30Z,APPL
52278849,$AAPL $SPY US mutuals run into trouble http://stkw.it/c4cV @FT Market gyrations give active managers worst performance in two decades,2016-04-04T20:27:33Z,APPL
52278357,$AAPL Tim Cook should lower the price for iPhone SE. Refurbished phone is different than brand new phone.,2016-04-04T20:22:19Z,APPL
52278331,"just like i wasnt worried abt $aapl being in trbl at 92, i am not worried abt Saudi arabia running out of $. $CL_F",2016-04-04T20:21:59Z,APPL
52278214,"$AAPL about to get a lot more of your $. Avg user predicted to top $100 on AAPL Music etc by 2020, an 85% gain. http://stkw.it/i4m0",2016-04-04T20:20:39Z,APPL
52277651,$AAPL vol today was pretty good.,2016-04-04T20:14:39Z,APPL
52277269,Very good day w/ trading #stocks Apple &amp; Twitter. Have a great day. Back to politics ... http://stkw.it/b4Vp $AAPL $TWTR $SPX $SPY $QQQ,2016-04-04T20:11:05Z,APPL
52277210,$AAPL AH is going to spike.,2016-04-04T20:10:30Z,APPL
52277140,"$AAPL People accuse Cook of killing Apple, but if you compare Apple&#39;s profits, Cook is actually doing much better than SJ.",2016-04-04T20:09:53Z,APPL
52276991,"$AAPL That was a good run, I just gonna cash out later this week, this fall it&#39;s gonna go to $130",2016-04-04T20:08:06Z,APPL
52276977,$AAPL Normal profit taking.   it has been up several days in a row.  buy some put protection just in case.  PT 130,2016-04-04T20:07:55Z,APPL
52276900,$aapl failed at 200dma,2016-04-04T20:06:57Z,APPL
52276795,"RECAP 4/4 Unusual Puts (2/2):
$AGO May 22 P
$MAS May 30 P
$EWZ Jan 24 P
$AAPL Jan 80 P
$MDT Apr 70 P",2016-04-04T20:06:02Z,APPL
52276781,"RECAP 4/4 Unusual Puts (1/2):
$PSX May 82.5 P
$AAPL May 90 P
$JBLU Apr 20 P
$DEO Apr 105 P
$WDC Jul 35 P
$STX Sep 20 P",2016-04-04T20:05:55Z,APPL
52276680,I added few $AAPL April 29 109/106 Put Spreads and selling an extra May 100 put for small credit today for clients not involved in the name,2016-04-04T20:05:04Z,APPL
52276637,$AAPL Great job guys..awesome trade,2016-04-04T20:04:42Z,APPL
52276615,$AAPL rip down tomorrow when fed talks,2016-04-04T20:04:31Z,APPL
52276483,$AAPL its ok 1 $ per day ...n market crash please,2016-04-04T20:03:28Z,APPL
52276444,$AAPL  $111.11 will now be resistance if market shows weakness Tuesday,2016-04-04T20:03:06Z,APPL
52276350,$AAPL tomorrow is going to be an amazing day I believe.,2016-04-04T20:02:23Z,APPL
52276330,$AAPL +1 Apple % a day keeps the doctor away.,2016-04-04T20:02:13Z,APPL
52276253,"$AAPL super bullish close, $145 tomorrow, like $144ish , iPhone SE is the next big thing seems like, stock rallied 14 percent since Feb lows",2016-04-04T20:01:41Z,APPL
52276091,@keynesian @PrognosisStock @harryzimm2013 $TSLA builds cars...not REMOTELY close to the scale/time frame of mobile ownership $AAPL is unique,2016-04-04T20:00:38Z,APPL
52275977,Took some off $AAPL daytrade at $111.10 ...,2016-04-04T19:59:42Z,APPL
52275758,$AAPL,2016-04-04T19:57:46Z,APPL
52275752,$AAPL Give or take a few cents.,2016-04-04T19:57:42Z,APPL
52275694,$AAPL if market not gonna crash like Jan.guess we will be able to see $130 before iPhone 7 announcement,2016-04-04T19:57:21Z,APPL
52275651,$AAPL shooting star !!,2016-04-04T19:56:54Z,APPL
52281192,$AAPL tomorrow is not looking good at the moment,2016-04-04T20:58:04Z,APPL
52281051,"$AAPL Yep, I&#39;m a little disappointed. A fish?  I was hoping for maybe Geronimo.",2016-04-04T20:56:11Z,APPL
52280751,$AAPL My spirit animal is a fish.,2016-04-04T20:52:23Z,APPL
52280681,$AAPL,2016-04-04T20:51:26Z,APPL
52280662,"$MNGA any other opportunities u guys know of this week? Funds clear Friday, was thinking $TSLA or $AAPL but they may be overbought",2016-04-04T20:51:09Z,APPL
52280636,$AAPL could either break through downward trend and go up or reject the trend line and go back down. Critical point here. $SPY is related.,2016-04-04T20:50:44Z,APPL
52280578,$AAPL expecting a small dip this week as RSI is high and people want to take profits.  Buy all dips.,2016-04-04T20:49:54Z,APPL
52280504,And this is why robinhood is ideal if you&#39;re not shorting/option trading $AAPL $SPY,2016-04-04T20:49:09Z,APPL
52280401,$AAPL $SPY Saving? http://stkw.it/v3sh @WSJ rules requiring brokers to act in investors best interest,2016-04-04T20:47:46Z,APPL
52280246,$AAPL sune,2016-04-04T20:45:41Z,APPL
52280095,7 Deep Value Stocks to Buy Sooner Than Later $SC $AAPL $CVX $NRF -  http://stkw.it/e4ZK <U+200E>,2016-04-04T20:43:32Z,APPL
52279864,$AAPL Technical Analysis Video 4/4/2016 http://stkw.it/f4oe,2016-04-04T20:40:28Z,APPL
52279463,"$AAPL: Unsexy Upgrade, Sexy Upside - http://stkw.it/a4cs",2016-04-04T20:35:12Z,APPL
52278980,$AAPL LOL do u think that aapl chart corrected? If nothing manupulated it would take another 200 days to get correct,2016-04-04T20:29:30Z,APPL
52278849,$AAPL $SPY US mutuals run into trouble http://stkw.it/c4cV @FT Market gyrations give active managers worst performance in two decades,2016-04-04T20:27:33Z,APPL
52278357,$AAPL Tim Cook should lower the price for iPhone SE. Refurbished phone is different than brand new phone.,2016-04-04T20:22:19Z,APPL
52278331,"just like i wasnt worried abt $aapl being in trbl at 92, i am not worried abt Saudi arabia running out of $. $CL_F",2016-04-04T20:21:59Z,APPL
52278214,"$AAPL about to get a lot more of your $. Avg user predicted to top $100 on AAPL Music etc by 2020, an 85% gain. http://stkw.it/i4m0",2016-04-04T20:20:39Z,APPL
52277651,$AAPL vol today was pretty good.,2016-04-04T20:14:39Z,APPL
52277269,Very good day w/ trading #stocks Apple &amp; Twitter. Have a great day. Back to politics ... http://stkw.it/b4Vp $AAPL $TWTR $SPX $SPY $QQQ,2016-04-04T20:11:05Z,APPL
52277210,$AAPL AH is going to spike.,2016-04-04T20:10:30Z,APPL
52277140,"$AAPL People accuse Cook of killing Apple, but if you compare Apple&#39;s profits, Cook is actually doing much better than SJ.",2016-04-04T20:09:53Z,APPL
52276991,"$AAPL That was a good run, I just gonna cash out later this week, this fall it&#39;s gonna go to $130",2016-04-04T20:08:06Z,APPL
52276977,$AAPL Normal profit taking.   it has been up several days in a row.  buy some put protection just in case.  PT 130,2016-04-04T20:07:55Z,APPL
