Symbol,Sector,Perf_5Year,SD_5Year,Beta_5Year,Beta_10Year
JAZZ,Health Care,55.31993,0.42337,0.612881329,
UNH,Health Care,27.48217,0.17353,0.613057266,0.868081799
ANCX,Financials,34.07985,0.25311,0.613910701,0.444630776
SPH,Utilities,-4.60398,0.19536,0.614213134,0.478216373
DRI,Consumer Discretionary,9.10754,0.20195,0.61493335,0.83845832
CMO,Financials,7.22228,0.14041,0.615040518,0.499631355
UNFI,Consumer Staples,3.3454,0.24977,0.617437104,0.693158106
SLRC,Financials,3.74462,0.1561,0.618029605,
SNAK,Consumer Staples,15.6364,0.3133,0.619086315,0.864946763
TGT,Consumer Discretionary,8.15575,0.19438,0.61957931,0.871950837
CWT,Utilities,7.00418,0.16073,0.620825208,0.425533843
UDR,Financials,15.02587,0.18079,0.621198195,1.056717024
DGI,Industrials,-11.16327,0.43782,0.621218621,
CXW,Financials,8.63795,0.20874,0.621904952,0.892494432
AMSWA,Information Technology,14.38463,0.20859,0.622036721,0.929028439
LTC,Financials,15.27015,0.19984,0.62329787,0.786179856
LODE,Materials,-32.75797,0.47936,0.623360041,0.247158621
CI,Health Care,30.25194,0.22254,0.624752241,1.289417818
EVBN,Financials,15.26139,0.14827,0.624874673,0.427269796
WM,Industrials,13.10035,0.1595,0.625035686,0.613851713
OCFC,Financials,13.56302,0.17773,0.627094122,0.926025924
MSEX,Utilities,11.34459,0.15165,0.627221789,0.465489216
SUI,Financials,21.37848,0.19396,0.627672549,1.367558845
WEN,Consumer Discretionary,19.36407,0.24019,0.628344443,0.972543506
SJR,Consumer Discretionary,4.70356,0.15758,0.628403453,0.736386973
AIV,Financials,12.91926,0.19261,0.629746049,1.685620494
ADC,Financials,10.02564,0.21117,0.630230731,1.137625455
YCB,Financials,29.10055,0.25203,0.630383862,0.488117074
MBVT,Financials,7.5938,0.19007,0.631533949,0.371940934
PLKI,Consumer Discretionary,33.97629,0.28409,0.6317376,1.406519935
RE,Financials,19.30331,0.12697,0.632057624,0.572130952
RCI,Telecommunication Services,5.45433,0.18893,0.632541894,0.904186603
HEOP,Financials,23.22436,0.236,0.634788651,0.952404976
WRE,Financials,2.96744,0.1688,0.635083775,1.012915248
RMD,Health Care,14.80632,0.22534,0.635318455,0.658900437
IPCC,Financials,9.73421,0.19187,0.63534782,0.49827945
HTLF,Financials,20.99366,0.23429,0.635788694,0.939934761
BWP,Energy,-11.78648,0.32595,0.636338364,
LSG,Materials,-28.2142,0.63595,0.639733504,0.982197225
BCPC,Materials,17.02373,0.28647,0.639797889,0.796826231
PSA,Financials,23.5981,0.17653,0.640309012,0.846026595
AGN,Health Care,45.53881,0.21577,0.640487886,0.521138324
HSKA,Health Care,50.99538,0.41545,0.642565092,1.641396886
ISRG,Health Care,15.29756,0.27846,0.643256465,1.347870416
BTG,Materials,-15.12975,0.4642,0.644888694,
SKX,Consumer Discretionary,31.88711,0.45033,0.646259748,1.624428277
STRL,Industrials,-16.32601,0.52854,0.646846443,0.784289644
KALU,Materials,14.91746,0.16466,0.649229732,
SPG,Financials,27.30871,0.17564,0.649540544,1.319487155
AFFX,Health Care,16.78539,0.47038,0.649977532,1.730084079
TCP,Energy,7.75357,0.21345,0.650290971,0.513902672
TOWN,Financials,11.72,0.18354,0.650682935,0.796106819
FMX,Consumer Staples,13.69017,0.18381,0.651025088,1.044658487
MCS,Consumer Discretionary,13.49179,0.25189,0.65258909,1.263407096
COL,Industrials,12.5357,0.17097,0.65576165,1.106362466
FN,Information Technology,6.48795,0.48911,0.65625092,
IBKR,Financials,25.57018,0.21492,0.656470625,
TMP,Financials,13.30359,0.16882,0.656803045,0.505265741
LUV,Industrials,28.29025,0.27605,0.657198572,1.0055504
MG,Industrials,12.07515,0.41054,0.657433493,
SJM,Consumer Staples,17.10642,0.16255,0.657634792,0.647653589
NVS,Health Care,13.39848,0.14982,0.659605979,0.575635333
MMP,Energy,22.80726,0.17816,0.660311934,0.426479622
VOD,Telecommunication Services,2.98481,0.20213,0.660534523,0.745709411
BXP,Financials,11.95783,0.16605,0.660692557,1.204243976
TWO,Financials,11.93483,0.17145,0.663473141,
NYMT,Financials,13.21338,0.18878,0.663514975,0.964876963
OLBK,Financials,18.22255,0.187,0.664655417,0.588676723
TLK,Telecommunication Services,7.65189,0.23246,0.664678609,0.982843021
CSBK,Financials,10.23878,0.18372,0.664720704,0.521670693
CEVA,Information Technology,2.07517,0.36757,0.668247491,0.882569638
UA,Consumer Discretionary,44.96628,0.3058,0.668870519,
AMGN,Health Care,27.18684,0.20601,0.671884273,0.537008027
BBBY,Consumer Discretionary,4.68891,0.23223,0.67264266,1.042026024
BIG,Consumer Discretionary,9.58883,0.34171,0.672872058,0.951670518
V,Information Technology,34.9231,0.17107,0.673140142,
EXPO,Industrials,26.80248,0.20699,0.673742657,0.632485749
PENN,Consumer Discretionary,-1.77978,0.26619,0.675678116,1.29603553
MKTX,Financials,44.68009,0.24465,0.67599226,0.914615279
